,nodes,building,geometry,addr:housenumber,addr:street,building:levels,id,start_date,addr:postcode,building:material,source,addr:city,name,addr:place,roof:shape,roof:material,building:colour,height,roof:height,wheelchair,level,roof:colour,building:facade:material,loc_name,addr:suburb,building:year_built,postal_code,addr:flats,building:parts,construction,members,type,amenity,ref,opening_hours,capacity:bed,emergency,health_specialty:emergency_medicine,provided_for:adult,healthcare,healthcare:speciality,lon,lat
0,"[353877420, 353877423, 3812541035, 3812541030, 3812541027, 353877424, 353877426, 353877420]",apartments,POINT (73.38313126569639 54.95133627317354),2,улица Ильичёва,5,31629076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.38313126569639,54.95133627317354
1,"[353877427, 353877429, 353877433, 3812541026, 3812541029, 3812541034, 353877435, 353877427]",apartments,POINT (73.38247069245411 54.95123898008816),4А,улица Ильичёва,5,31629078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.3824706924541,54.95123898008816
2,"[353877442, 3812541031, 3812541028, 3812541025, 353877445, 353877448, 353877438, 353877442]",apartments,POINT (73.38161025172832 54.95119962646734),7,улица В.Иванова,5,31629080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.38161025172832,54.95119962646734
3,"[353889015, 353889016, 353889017, 4834042394, 4834042393, 4834042388, 4834042387, 353889020, 353889015]",apartments,POINT (73.3847774287413 54.97382954498494),9А,улица Масленникова,5,31634277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.3847774287413,54.97382954498494
4,"[353889024, 353889021, 353889026, 4834042395, 4834042392, 4834042389, 4834042385, 353889022, 353889024]",apartments,POINT (73.38541414622122 54.97387526580965),9Б,улица Масленникова,5,31634279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.38541414622122,54.97387526580965
5,"[353889031, 4834042386, 4834042390, 4834042391, 4834042396, 353889027, 353889032, 353889030, 3647548367, 353889031]",apartments,POINT (73.38605636889537 54.97392137941075),9В,улица Масленникова,5,31634281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.38605636889537,54.973921379410754
6,"[353889033, 353889036, 353889037, 4010513597, 4010513598, 4010513599, 4010513600, 4010513601, 4010513602, 353889039, 353889033]",apartments,POINT (73.38531375284582 54.97436841349491),18,улица Чокана Валиханова,5,31634282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.38531375284582,54.974368413494915
7,"[668468992, 353889063, 3972813677, 3972813673, 353889058, 3894063398, 3894063407, 4212127555, 4212127569, 5934956598, 5934956599, 353889059, 3215294608, 668468992]",apartments,POINT (73.38002826729522 54.97301233582157),3,Ленинградская площадь,,31634287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.38002826729522,54.97301233582157
8,"[353889064, 353889067, 4366668621, 3972813703, 353889068, 3972813714, 353889069, 353889072, 3892069986, 4473282151, 353889073, 3647548342, 4366668618, 3892069985, 3892069990, 3690006778, 3892070020, 1740472785, 3892069977, 3892069992, 3892069978, 976571996, 5341024049, 3892069996, 4366668622, 3892069988, 3883613972, 3887865476, 3883613975, 3645490501, 3883613974, 7117267766, 353889075, 3647548348, 3892070025, 353889076, 353889064]",apartments,POINT (73.38155302681997 54.9738580453234),10,проспект Карла Маркса,,31634289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.38155302681997,54.9738580453234
9,"[353889085, 3894063416, 353889087, 3892069983, 4723550169, 3892069997, 3892069984, 3690006777, 5434072700, 3690006782, 353889089, 353889091, 353889085]",apartments,POINT (73.38130974126679 54.97525496541365),8,проспект Карла Маркса,,31634292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.38130974126679,54.97525496541365
